iter	Logloss
0	0.6700243516
1	0.6465621986
2	0.6248887996
3	0.6049949168
4	0.5896127126
5	0.5719935367
6	0.5571580385
7	0.5431560127
8	0.5285138803
9	0.5133004625
10	0.4999398
11	0.4881830679
12	0.4785446984
13	0.4670628743
14	0.4596169499
15	0.4494494055
16	0.4405980074
17	0.4335827248
18	0.4242777204
19	0.417888737
20	0.4108586208
21	0.4041567351
22	0.396418172
23	0.3887490642
24	0.3812000742
25	0.3755039541
26	0.3698695426
27	0.3642613075
28	0.3593119637
29	0.3552430986
30	0.349886318
31	0.3447616586
32	0.34040364
33	0.3354778493
34	0.3323683344
35	0.3276315009
36	0.3237492705
37	0.3197460792
38	0.3155124814
39	0.3124604929
40	0.3081064382
41	0.3037634948
42	0.3005156246
43	0.2969470057
44	0.2933996332
45	0.2902348702
46	0.2876106458
47	0.2845185975
48	0.2810842091
49	0.2782547316
50	0.2753554811
51	0.2730672054
52	0.2707941402
53	0.2679723361
54	0.2650729519
55	0.2621077305
56	0.259685993
57	0.2575792788
58	0.2554347074
59	0.2528738466
60	0.250505849
61	0.2485155813
62	0.2463341552
63	0.2440513343
64	0.2422970335
65	0.2401606179
66	0.2386057654
67	0.2368585539
68	0.2348138756
69	0.2327517082
70	0.2312672735
71	0.2295353819
72	0.2281033368
73	0.2266440903
74	0.2247396496
75	0.2233559356
76	0.221602183
77	0.2198752853
78	0.2182174043
79	0.2160126337
80	0.2142026751
81	0.2127612244
82	0.2115437677
83	0.2103489731
84	0.2085199674
85	0.2068848262
86	0.2050579037
87	0.2036284691
88	0.202496182
89	0.2009914545
90	0.1995497073
91	0.1984167113
92	0.1971661154
93	0.1958970064
94	0.1946474135
95	0.1933684346
96	0.1922629924
97	0.19085231
98	0.1898089229
99	0.1882589213
100	0.1873697335
101	0.1863698727
102	0.1847591245
103	0.1838802451
104	0.1828391824
105	0.1815876176
106	0.1804534273
107	0.1791129757
108	0.1779495722
109	0.1770067768
110	0.1759316785
111	0.1747752906
112	0.1739006616
113	0.1729415387
114	0.17211496
115	0.1713067991
116	0.1703558786
117	0.1695927127
118	0.1687250157
119	0.1677135862
120	0.1669220736
121	0.165938218
122	0.1650284752
123	0.1639555979
124	0.1631659721
125	0.1623697408
126	0.161552955
127	0.1608224219
128	0.1599571489
129	0.1591018583
130	0.1585984246
131	0.1578163003
132	0.1570545511
133	0.1563432911
134	0.1556670689
135	0.1548527585
136	0.154198211
137	0.153528335
138	0.1527928647
139	0.1519197149
140	0.1512777479
141	0.150474735
142	0.1496833783
143	0.1489848343
144	0.1482847116
145	0.1475314291
146	0.1467354247
147	0.1459807224
148	0.1452810145
149	0.1445974002
150	0.1438872623
151	0.1431567277
152	0.14256381
153	0.1419613522
154	0.1412717891
155	0.1406539463
156	0.1399619532
157	0.139378262
158	0.1383751731
159	0.1378074657
160	0.1373027142
161	0.1367808703
162	0.1361601008
163	0.135537394
164	0.1348435813
165	0.1341505869
166	0.1337297701
167	0.1330580374
168	0.1325047476
169	0.1320050402
170	0.1314240728
171	0.1308771438
172	0.1302821005
173	0.1298299496
174	0.1294103411
175	0.1289046904
176	0.1281913463
177	0.1275112287
178	0.1269833216
179	0.1263627024
180	0.1257612315
181	0.1251912114
182	0.1248247013
183	0.1243668298
184	0.1239245495
185	0.123444818
186	0.1228868768
187	0.1222176528
188	0.1214238045
189	0.120893172
190	0.1203042702
191	0.1198699481
192	0.1193715335
193	0.1187532069
194	0.1182712774
195	0.1178761933
196	0.1174336965
197	0.116758617
198	0.1162771253
199	0.1158351237
