iter	Passed	Remaining
0	6	1267
1	13	1287
2	19	1298
3	26	1309
4	34	1333
5	40	1324
6	47	1317
7	54	1309
8	61	1311
9	68	1308
10	75	1304
11	84	1319
12	91	1318
13	98	1314
14	105	1300
15	112	1293
16	118	1280
17	124	1263
18	132	1258
19	138	1246
20	144	1234
21	150	1220
22	156	1206
23	163	1201
24	170	1190
25	177	1187
26	183	1174
27	189	1163
28	195	1155
29	202	1144
30	210	1145
31	217	1139
32	224	1136
33	231	1130
34	238	1123
35	244	1115
36	251	1108
37	258	1100
38	265	1094
39	273	1093
40	279	1085
41	287	1082
42	294	1075
43	301	1067
44	308	1061
45	315	1055
46	322	1049
47	330	1047
48	337	1041
49	344	1034
50	351	1026
51	358	1021
52	364	1012
53	371	1004
54	378	996
55	384	988
56	392	985
57	399	977
58	407	974
59	413	965
60	421	961
61	427	952
62	447	974
63	453	963
64	459	953
65	467	948
66	474	941
67	483	938
68	490	931
69	497	924
70	504	916
71	511	908
72	517	900
73	524	892
74	531	885
75	538	877
76	545	872
77	552	864
78	558	855
79	565	848
80	571	839
81	577	831
82	584	823
83	590	815
84	596	807
85	605	802
86	611	794
87	618	786
88	625	779
89	632	772
90	638	764
91	644	756
92	651	749
93	657	741
94	665	735
95	671	727
96	678	720
97	685	713
98	692	706
99	699	699
100	705	691
101	712	684
102	719	677
103	726	670
104	733	663
105	742	658
106	749	651
107	757	645
108	766	640
109	775	634
110	783	627
111	791	621
112	800	616
113	808	609
114	817	604
115	825	597
116	832	590
117	839	583
118	847	577
119	855	570
120	863	563
121	871	557
122	879	550
123	888	544
124	895	537
125	904	531
126	912	524
127	920	518
128	927	510
129	935	503
130	942	496
131	949	489
132	957	482
133	963	474
134	970	467
135	977	459
136	983	452
137	989	444
138	996	437
139	1002	429
140	1008	422
141	1015	414
142	1021	407
143	1028	399
144	1034	392
145	1041	385
146	1048	377
147	1054	370
148	1061	363
149	1068	356
150	1074	348
151	1081	341
152	1090	334
153	1097	327
154	1104	320
155	1110	313
156	1117	305
157	1123	298
158	1131	291
159	1137	284
160	1145	277
161	1153	270
162	1160	263
163	1166	256
164	1173	248
165	1180	241
166	1186	234
167	1193	227
168	1199	220
169	1205	212
170	1212	205
171	1218	198
172	1225	191
173	1231	184
174	1238	176
175	1244	169
176	1250	162
177	1257	155
178	1262	148
179	1268	140
180	1275	133
181	1282	126
182	1289	119
183	1296	112
184	1304	105
185	1312	98
186	1319	91
187	1325	84
188	1331	77
189	1339	70
190	1346	63
191	1352	56
192	1358	49
193	1365	42
194	1372	35
195	1379	28
196	1386	21
197	1393	14
198	1399	7
199	1406	0
